point_id,x_mm,y_mm
104,-72.5965803,16.3455141
105,-72.4952749,16.4799583
106,-72.3927251,16.6131575
107,-72.2897644,16.7464266
108,-72.1863453,16.8787963
109,-72.0818053,17.0101267
110,-71.9761812,17.1419132
111,-71.8710766,17.2732631
112,-71.7641526,17.4034948
113,-71.6581214,17.5340423
114,-71.5504371,17.6628172
115,-71.4423202,17.7919771
116,-71.3335797,17.9202817
117,-71.2241896,18.0482758
118,-71.1142492,18.1756311
119,-71.0036195,18.3023349
120,-70.8923442,18.4285265
121,-70.7804708,18.5542572
122,-70.668141,18.6794949
123,-70.5552455,18.8045247
124,-70.4426029,18.928439
125,-70.3271757,19.0510535
126,-70.2125434,19.1751893
127,-70.0972951,19.297564
128,-69.9814496,19.4194102
129,-69.8647152,19.5420597
130,-69.744237,19.6582164
131,-69.6287103,19.781424
132,-69.511895,19.899942
133,-69.3950798,20.0184599
134,-69.2748665,20.1383364
135,-69.155609,20.2558608
136,-69.0355068,20.3727949
137,-68.9132158,20.4891002
138,-68.7921824,20.6065423
139,-68.669813,20.7221308
140,-68.5482655,20.8390111
141,-68.4265109,20.9535974
142,-68.3028531,21.068317
143,-68.1802656,21.1840097
144,-68.0576874,21.2976136
145,-67.9325633,21.4097946
146,-67.8065875,21.5240823
147,-67.6840849,21.6376885
148,-67.5591865,21.7491492
149,-67.4336697,21.8609238
150,-67.3068621,21.9722074
151,-67.1812185,22.0844534
152,-67.0544322,22.1947625
153,-66.9272989,22.3052127
154,-66.7993285,22.4144371
155,-66.671301,22.5238512
156,-66.5428174,22.632192
157,-66.413645,22.7406113
158,-66.2849066,22.8487145
159,-66.1551024,22.9561786
160,-66.0259388,23.0638909
161,-65.8957149,23.1703084
162,-65.7656768,23.2775251
163,-65.6352692,23.3837195
164,-65.504602,23.4903493
165,-65.3751218,23.5943813
166,-65.2390424,23.6970958
167,-65.1093755,23.8074119
168,-64.9833522,23.9087207
169,-64.8488821,24.015169
170,-64.714412,24.1216173
171,-64.584702,24.2219656
172,-64.4509468,24.3263823
173,-64.3182046,24.4304281
174,-64.1855346,24.5342532
175,-64.0526035,24.6376406
176,-63.9202033,24.7407574
177,-63.787093,24.8418189
178,-63.651856,24.9448908
179,-63.5191531,25.0498501
180,-63.3871082,25.1533592
181,-63.2543834,25.2573767
182,-63.1220637,25.3625989
183,-62.990693,25.4686826
184,-62.8597895,25.5754459
185,-62.7296353,25.6831895
186,-62.5997362,25.7916477
187,-62.470731,25.9013637
188,-62.3425652,26.0114664
189,-62.2148483,26.122609
190,-62.0883324,26.234672
191,-61.9623199,26.3474824
192,-61.837411,26.4621994
193,-61.7143503,26.578128
194,-61.5920108,26.6961222
195,-61.472373,26.8154955
196,-61.3526958,26.9346836
197,-61.2339953,27.0570241
198,-61.1180386,27.1807956
199,-61.0034914,27.3051977
200,-60.8898789,27.4317255
201,-60.7792717,27.5599447
202,-60.6689535,27.6889689
203,-60.5614421,27.8207086
204,-60.4556766,27.9521647
205,-60.3507442,28.0848947
206,-60.2474037,28.2197738
207,-60.1469296,28.3559711
208,-60.0469839,28.4927957
209,-59.9496963,28.6316418
210,-59.8534422,28.770807
211,-59.7589462,28.911632
212,-59.6662683,29.0529149
213,-59.574754,29.1949442
214,-59.4844339,29.3380872
215,-59.39565,29.4820176
216,-59.3075939,29.6261066
217,-59.2202492,29.770741
218,-59.1339121,29.9158503
219,-59.0481868,30.0611047
220,-58.9628489,30.2069842
221,-58.8787462,30.3529415
222,-58.7934069,30.4991546
223,-58.7112993,30.6467449
224,-58.6278607,30.7927484
225,-58.545114,30.939676
226,-58.4619152,31.086387
227,-58.379846,31.2341144
228,-58.2979998,31.3814381
229,-58.2159085,31.5286771
230,-58.1337741,31.6757158
231,-58.0511885,31.8225734
232,-57.9687092,31.9696379
233,-57.8861742,32.1165338
234,-57.8033651,32.2631405
235,-57.7201288,32.4097065
236,-57.6370749,32.5564068
237,-57.5538332,32.7027977
238,-57.4701856,32.8490423
239,-57.3862992,32.9952383
240,-57.3022645,33.1413289
241,-57.2179737,33.2873768
242,-57.1337632,33.4332836
243,-57.0489738,33.5787896
244,-56.9640546,33.7243029
245,-56.8787011,33.8696697
246,-56.7935405,34.0150585
247,-56.7079604,34.1601714
248,-56.6222494,34.3052191
249,-56.5361381,34.4499016
250,-56.4496321,34.5948281
251,-56.3640359,34.7400285
252,-56.277798,34.8844971
253,-56.1913494,35.0296661
254,-56.1063328,35.1753999
255,-56.0210253,35.3207666
256,-55.9364888,35.4666368
257,-55.8517563,35.6123879
258,-55.7677848,35.7589106
259,-55.6845843,35.9057895
260,-55.6020363,36.0528649
261,-55.5197669,36.2003012
262,-55.4387709,36.3482773
263,-55.357756,36.4962999
264,-55.2782971,36.6454185
265,-55.1998044,36.794711
266,-55.122075,36.9447957
267,-55.0465233,37.0959584
268,-54.9719619,37.2473531
269,-54.898609,37.3995477
270,-54.8272225,37.5528004
271,-54.7578946,37.7068898
272,-54.690158,37.8615565
273,-54.6241467,38.0172298
274,-54.5612587,38.1741874
275,-54.5003141,38.3315741
276,-54.4405504,38.4895203
277,-54.3827725,38.6483216
278,-54.3269238,38.8075728
279,-54.2723813,38.9675551
280,-54.2217148,39.1288143
281,-54.1726424,39.2902187
282,-54.1250322,39.452208
283,-54.0796906,39.6150529
284,-54.0373535,39.778377
285,-53.9952054,39.941714
286,-53.9553468,40.1057106
287,-53.9168396,40.2699878
288,-53.88084,40.4348809
289,-53.8461108,40.5999579
290,-53.8127891,40.7653382
291,-53.7804028,40.9307833
292,-53.7482983,41.096485
293,-53.7190947,41.26266
294,-53.6897741,41.4286835
295,-53.662117,41.5951312
296,-53.6355797,41.7616369
297,-53.6093134,41.9282052
298,-53.5840428,42.0949106
299,-53.5592798,42.2617458
300,-53.5360757,42.4286533
301,-53.5114097,42.5949499
302,-53.4899119,42.7617217
303,-53.4615262,42.9277694
304,-53.443102,43.0951752
305,-53.4186533,43.2617694
306,-53.3947503,43.4286501
307,-53.3701159,43.5954149
308,-53.3469204,43.7624543
309,-53.3232192,43.9291962
310,-53.2950972,44.0952893
311,-53.2739906,44.2621081
312,-53.2508993,44.4288024
313,-53.2232469,44.5946455
314,-53.1955945,44.7604885
315,-53.1737579,44.9274349
316,-53.1463627,45.0937078
317,-53.1199365,45.260169
318,-53.0915587,45.4262476
319,-53.0652558,45.592787
320,-53.0371998,45.7589366
321,-53.0082107,45.9249949
322,-52.979025,46.0910112
323,-52.949297,46.2568738
324,-52.9189011,46.4226814
325,-52.888082,46.588384
326,-52.8564413,46.7539385
327,-52.8245276,46.9194664
328,-52.7917911,47.0847913
329,-52.7582928,47.2499871
330,-52.7247877,47.4150753
331,-52.690478,47.5801506
332,-52.6568866,47.7450932
333,-52.6150051,47.9081242
334,-52.5850214,48.0736307
335,-52.545153,48.2372154
336,-52.5116038,48.4023713
337,-52.4717288,48.5659922
338,-52.4345157,48.7304994
339,-52.3957565,48.894409
340,-52.3560738,49.058254
341,-52.3157823,49.2215987
342,-52.2714496,49.384325
343,-52.2340967,49.5486166
344,-52.19161,49.7115032
345,-52.1488612,49.874587
346,-52.1056342,50.0374467
347,-52.0620685,50.199863
348,-52.0170432,50.3620451
349,-51.9672355,50.5217373
350,-51.9277691,50.6852028
351,-51.8793567,50.8462496
352,-51.829651,51.0074148
353,-51.7821258,51.1690971
354,-51.7323865,51.3301145
355,-51.6834118,51.49134
356,-51.6323309,51.6518574
357,-51.580884,51.8122895
358,-51.5274604,51.9721816
359,-51.4750676,52.1323984
360,-51.4206537,52.2918069
361,-51.365594,52.4511083
362,-51.3100782,52.6102114
363,-51.253801,52.769033
364,-51.1966882,52.927577
365,-51.1391027,53.0859651
366,-51.0806755,53.2439393
367,-51.0205402,53.4013581
368,-50.9609903,53.5591012
369,-50.9001844,53.7161676
370,-50.8376106,53.8727635
371,-50.7762406,54.0295531
372,-50.7129801,54.1856313
373,-50.6490512,54.341551
374,-50.5842441,54.497068
375,-50.5186737,54.6523038
376,-50.4523194,54.8071834
377,-50.3848468,54.9615895
378,-50.3168606,55.1158001
379,-50.2479882,55.2694161
380,-50.1777635,55.4225659
381,-50.106977,55.5754986
382,-50.0352388,55.7279453
383,-49.9626559,55.8799673
384,-49.8889656,56.0315121
385,-49.814843,56.1825913
386,-49.7391206,56.3331038
387,-49.6631497,56.4835511
388,-49.5862664,56.633422
389,-49.5081105,56.7826344
390,-49.4288781,56.9314224
391,-49.3496619,57.0799793
392,-49.2682723,57.2275725
393,-49.1876479,57.3755191
394,-49.1052473,57.5222962
395,-49.0218856,57.6686743
396,-48.9375182,57.8144976
397,-48.8526279,57.9600238
398,-48.766895,58.1050573
399,-48.6806049,58.2496215
400,-48.5924904,58.3932422
401,-48.5047038,58.5370811
402,-48.4156483,58.680084
403,-48.3261251,58.8221506
404,-48.2312316,58.9616177
405,-48.1422597,59.1054434
406,-48.0505241,59.2460842
407,-47.956207,59.3855229
408,-47.8610879,59.5245474
409,-47.7656145,59.6632508
410,-47.6691084,59.8013158
411,-47.5722143,59.9390862
412,-47.4739676,60.0758142
413,-47.3748384,60.2120553
414,-47.2750665,60.3476725
415,-47.1737304,60.482268
416,-47.0720964,60.6165809
417,-46.9691275,60.7498705
418,-46.8659789,60.8828644
419,-46.7607171,61.0143486
420,-46.6558042,61.146189
421,-46.5490364,61.2763426
422,-46.4419972,61.4063193
423,-46.3332136,61.5347551
424,-46.2240145,61.6632266
425,-46.1145378,61.7911214
426,-46.0036824,61.9176239
427,-45.8913792,62.0433537
428,-45.779518,62.1692314
429,-45.6658156,62.2932629
430,-45.5516031,62.4171135
431,-45.4364935,62.5399092
432,-45.3204186,62.6618986
433,-45.2037138,62.7832561
434,-45.0860684,62.9038146
435,-44.9680139,63.023744
436,-44.8482932,63.1420204
437,-44.7279586,63.2603019
438,-44.6080798,63.3784122
439,-44.4862355,63.4942597
440,-44.3636528,63.6099433
441,-44.2407692,63.7243208
442,-44.1150171,63.8364241
443,-43.9913613,63.9511888
444,-43.8662236,64.0630935
445,-43.7396344,64.1741336
446,-43.6127434,64.2849365
447,-43.4863768,64.3945912
448,-43.3568015,64.5011179
449,-43.2253321,64.6080168
450,-43.0984738,64.7187507
451,-42.9676992,64.823335
452,-42.8361258,64.9287731
453,-42.7040719,65.0330271
454,-42.571303,65.136504
455,-42.4375285,65.2387487
456,-42.3033443,65.3403949
457,-42.1684006,65.4404678
458,-42.0327406,65.5400334
459,-41.8959651,65.6382369
460,-41.7590818,65.7361238
461,-41.6210318,65.8324008
462,-41.4828199,65.9278747
463,-41.3422256,66.0211064
464,-41.2038363,66.116244
465,-41.0632917,66.2077941
466,-40.9215862,66.2992283
467,-40.7802179,66.3899156
468,-40.6368426,66.4786683
469,-40.494735,66.5693429
470,-40.3514692,66.6575288
471,-40.2083295,66.7461328
472,-40.0638989,66.8328585
473,-39.9199703,66.9210341
474,-39.7760834,67.0077014
475,-39.6308606,67.0929188
476,-39.4858555,67.1790062
477,-39.3406128,67.2642534
478,-39.1952946,67.3493973
479,-39.0496847,67.4335184
480,-38.903795,67.517556
481,-38.7570627,67.6005648
482,-38.6108351,67.6846252
483,-38.4643856,67.7674591
484,-38.3175645,67.8501323
485,-38.1707704,67.9325162
486,-38.0236633,68.0144767
487,-37.876154,68.095861
488,-37.7283984,68.1768287
489,-37.5804916,68.2572728
490,-37.4321656,68.3364012
491,-37.2826312,68.4144886
492,-37.1335166,68.4931438
493,-36.9841005,68.5700202
494,-36.8337985,68.6462986
495,-36.6845099,68.7210989
496,-36.5306074,68.7910337
497,-36.380541,68.8689486
498,-36.2292623,68.939565
499,-36.0762805,69.0105586
500,-35.9233202,69.0801925
501,-35.7695887,69.1487944
502,-35.6157684,69.2164458
503,-35.4611882,69.2824677
504,-35.3064055,69.3485378
505,-35.1508215,69.4124137
506,-34.9949642,69.4759545
507,-34.8386386,69.5377364
508,-34.6816946,69.5990571
509,-34.5252906,69.6595863
510,-34.3674051,69.7164739
511,-34.2079303,69.7744309
512,-34.0517181,69.8343177
513,-33.8924074,69.8861999
514,-33.7331282,69.9431122
515,-33.5747808,69.9971772
516,-33.4146152,70.0488828
517,-33.2544771,70.100875
518,-33.0944595,70.1512736
519,-32.9336414,70.2007786
520,-32.7724487,70.2492106
521,-32.611314,70.2967265
522,-32.4493289,70.3420132
523,-32.2868932,70.3872597
524,-32.1245298,70.4314948
525,-31.9618753,70.4744122
526,-31.7989499,70.515954
527,-31.6355908,70.5561458
528,-31.4717525,70.5956201
529,-31.3079895,70.6347679
530,-31.1441074,70.6721601
531,-30.9797687,70.7081469
532,-30.8151578,70.7429107
533,-30.6501303,70.7764973
534,-30.4852028,70.8094897
535,-30.3198645,70.8404614
536,-30.154131,70.8708585
537,-29.9884905,70.9000056
538,-29.8224266,70.9275745
539,-29.6564099,70.9544823
540,-29.4900011,70.9796582
541,-29.3234996,71.0046077
542,-29.157039,71.0277136
543,-28.990303,71.0495958
544,-28.8232303,71.0707918
545,-28.6563639,71.090665
546,-28.4890286,71.1085218
547,-28.3212827,71.1261796
548,-28.1543191,71.1432005
549,-27.9864879,71.1573673
550,-27.8187254,71.1727526
551,-27.6512252,71.1854518
552,-27.4833979,71.1980625
553,-27.3155677,71.2095834
554,-27.1487223,71.2198001
555,-26.9794159,71.2248962
556,-26.8105154,71.237055
557,-26.643505,71.2441671
558,-26.4752414,71.2496893
559,-26.3069556,71.2545836
560,-26.1387591,71.2589098
561,-25.9705863,71.2617486
562,-25.8021251,71.2637341
563,-25.633833,71.2651525
564,-25.4656739,71.2651004
565,-25.2971682,71.2641882
566,-25.1292968,71.2626973
567,-24.9609379,71.2582209
568,-24.7925335,71.254927
569,-24.6243815,71.248557
570,-24.4558767,71.2431941
571,-24.2880119,71.2359092
572,-24.1198187,71.227562
573,-23.9517326,71.2181522
574,-23.7836686,71.2076964
575,-23.6159146,71.1963369
576,-23.4481683,71.1839397
577,-23.280429,71.1703191
578,-23.1126717,71.1559793
579,-22.9448842,71.140883
580,-22.7779011,71.1248776
581,-22.6104074,71.1055946
582,-22.4425011,71.0889688
583,-22.2759795,71.0695221
584,-22.1087489,71.04885
585,-21.9416779,71.0280919
586,-21.7748039,71.0062376
587,-21.6079821,70.9838878
588,-21.4416337,70.9602941
589,-21.2749598,70.9352647
590,-21.1080807,70.9106539
591,-20.9418797,70.8850432
592,-20.7754346,70.8580587
593,-20.6093794,70.8315031
594,-20.4438271,70.8027541
595,-20.2778872,70.7734754
596,-20.1121703,70.7436598
597,-19.9466559,70.7132293
598,-19.7814217,70.6816811
599,-19.616146,70.6491851
600,-19.4510617,70.6162672
601,-19.2863212,70.5822564
602,-19.1216074,70.5475535
603,-18.9568891,70.5123104
604,-18.7928659,70.4764246
605,-18.62883,70.4381356
606,-18.4643782,70.4006654
607,-18.300755,70.3616618
608,-18.1372395,70.3220897
609,-17.9732821,70.2822884
610,-17.8118482,70.242583
611,-17.6480263,70.2002292
612,-17.4842043,70.1578754
613,-17.324614,70.1137743
614,-17.1618405,70.0687133
615,-16.999289,70.0242722
616,-16.8382497,69.9799691
617,-16.677016,69.9301351
618,-16.5131128,69.8855892
619,-16.3517851,69.839853
620,-16.1903547,69.7926724
621,-16.0298627,69.744373
622,-15.8686568,69.693793
623,-15.7072687,69.6460807
624,-15.5474533,69.5951219
625,-15.3879522,69.5442253
626,-15.2273149,69.4885655
627,-15.0648969,69.4423064
628,-14.9071441,69.3894493
629,-14.7469867,69.3360056
630,-14.587457,69.2823779
631,-14.4279719,69.2283942
632,-14.2688228,69.1734731
633,-14.1096364,69.1183832
634,-13.9507764,69.0627322
635,-13.7919688,69.0067299
636,-13.6333744,68.9500708
637,-13.4750162,68.8929194
638,-13.3170521,68.8349992
639,-13.1589794,68.7765059
640,-13.0010838,68.7181507
641,-12.8436484,68.6586786
642,-12.6861846,68.5990613
643,-12.5285591,68.5392811
644,-12.3714411,68.4801755
645,-12.2169581,68.4179505
646,-12.0593022,68.3510447
647,-11.8990355,68.2963527
648,-11.747257,68.2360363
649,-11.5887567,68.1737387
650,-11.4302565,68.1114412
651,-11.2770042,68.0483429
652,-11.1203073,67.984032
653,-10.9639893,67.9208722
654,-10.8079051,67.8575698
655,-10.6518834,67.7940542
656,-10.4960864,67.7305594
657,-10.3416899,67.6666094
658,-10.185897,67.6009375
659,-10.0285046,67.5377317
660,-9.8720246,67.4760074
661,-9.7159397,67.4131808
662,-9.5587487,67.3511611
663,-9.4012945,67.2902286
664,-9.243708,67.2299693
665,-9.0854131,67.1703847
666,-8.9263271,67.1128003
667,-8.7674627,67.0560562
668,-8.6078326,66.9996403
669,-8.4475426,66.9453878
670,-8.287319,66.8921487
671,-8.1269493,66.8401321
672,-7.9652526,66.7881539
673,-7.8028113,66.7401847
674,-7.6405817,66.6924204
675,-7.477468,66.6476643
676,-7.314469,66.6029808
677,-7.1495819,66.5614316
678,-6.9847091,66.5227335
679,-6.8192357,66.4863567
680,-6.6532273,66.4521114
681,-6.4866103,66.4200083
682,-6.320144,66.390094
683,-6.1532668,66.3612438
684,-5.9858105,66.3355271
685,-5.8184935,66.3116231
686,-5.6501752,66.2899137
687,-5.4819814,66.2711418
688,-5.3138096,66.2532809
689,-5.1450417,66.2377674
690,-4.9763178,66.224195
691,-4.8074619,66.2127883
692,-4.6387356,66.2033739
693,-4.4697526,66.1956332
694,-4.300885,66.1898958
695,-4.1320066,66.184575
696,-3.9631431,66.180648
697,-3.794282,66.1770834
698,-3.625397,66.1751321
699,-3.4567562,66.1734286
700,-3.2879565,66.1724678
701,-3.1193413,66.1718092
702,-2.9502205,66.171614
703,-2.7815908,66.1737044
704,-2.6131886,66.1747116
705,-2.4443853,66.1768803
706,-2.2759222,66.1789925
707,-2.107122,66.1809327
708,-1.9384522,66.1835881
709,-1.7700107,66.1857641
710,-1.6014525,66.1879231
711,-1.4330366,66.1899764
712,-1.2644777,66.191725
713,-1.0959355,66.1938283
714,-0.9274824,66.1955211
715,-0.7589982,66.1971707
716,-0.5905598,66.1982781
717,-0.4219746,66.1992398
718,-0.2534682,66.2001739
719,-0.0849801,66.2006113
720,0.0836094,66.2008092
721,0.2521157,66.2008577
722,0.4206156,66.200431
723,0.5892027,66.1999073
724,0.7576547,66.1992011
725,0.9261437,66.1979226
726,1.0945888,66.1966564
727,1.2631199,66.194897
728,1.431671,66.1933268
729,1.6000967,66.191253
730,1.7686696,66.1890651
731,1.937139,66.187002
732,2.1057847,66.1847595
733,2.2745558,66.1834978
734,2.4430271,66.1822337
735,2.6118232,66.1809254
736,2.7802535,66.1809037
737,2.9488951,66.1798215
738,3.1178722,66.1810091
739,3.2864812,66.1827391
740,3.4552081,66.1847486
741,3.6238233,66.1874463
742,3.7925895,66.1902956
743,3.9613403,66.1946716
744,4.1300782,66.1996718
745,4.2987738,66.2064234
746,4.4674377,66.2137671
747,4.6361468,66.2230468
748,4.8046346,66.2337238
749,4.9731548,66.2460172
750,5.1415255,66.2605565
751,5.3097705,66.2776238
752,5.4774807,66.2974544
753,5.6450862,66.3183797
754,5.8125723,66.342163
755,5.9793619,66.3681327
756,6.1460723,66.3956801
757,6.3122074,66.4262301
758,6.4779627,66.4577774
759,6.643597,66.491444
760,6.8087036,66.5272075
761,6.9733346,66.5648509
762,7.1375221,66.6042415
763,7.3013906,66.6459829
764,7.4639765,66.6910782
765,7.6265554,66.7363681
766,7.7882791,66.784557
767,7.9502083,66.832631
768,8.1109817,66.8848398
769,8.2712036,66.9372757
770,8.4311594,66.9908166
771,8.5909626,67.0451367
772,8.7499827,67.1014765
773,8.9087403,67.1583095
774,9.0674675,67.2156601
775,9.2255408,67.2747521
776,9.3831749,67.3346542
777,9.5405603,67.3953033
778,9.6976215,67.4568776
779,9.8541195,67.5193252
780,10.0108936,67.580614
781,10.1676203,67.6427799
782,10.3231012,67.7076155
783,10.4783791,67.7709061
784,10.6347165,67.8339376
785,10.7911197,67.8967287
786,10.9476365,67.9592673
787,11.1042769,68.0215696
788,11.2606852,68.0850479
789,11.4160117,68.1485436
790,11.57294,68.2105026
791,11.7298684,68.2724615
792,11.8853497,68.3343089
793,12.0445631,68.3879247
794,12.2001845,68.453818
795,12.3560308,68.5167302
796,12.5136044,68.5761559
797,12.6711837,68.6360846
798,12.828715,68.6959093
799,12.9863091,68.7555847
800,13.1443526,68.8140857
801,13.3025173,68.8724033
802,13.4608857,68.9299586
803,13.6195482,68.9867452
804,13.7783413,69.0431914
805,13.9373685,69.0990114
806,14.0965532,69.1542696
807,14.2560259,69.2087662
808,14.4155043,69.2632372
809,14.5751542,69.3168826
810,14.7349533,69.3702828
811,14.8950242,69.4234287
812,15.0543052,69.4766919
813,15.2163849,69.5227323
814,15.3757174,69.5779139
815,15.5357855,69.6287988
816,15.6961872,69.6799221
817,15.8577649,69.7276219
818,16.0187439,69.7780822
819,16.1798999,69.8265764
820,16.3416142,69.8737879
821,16.5035603,69.9195691
822,16.6665052,69.9638468
823,16.8275382,70.0135487
824,16.9897167,70.0579335
825,17.1524354,70.1019953
826,17.3151446,70.1464222
827,17.4767509,70.1904703
828,17.6393001,70.2324339
829,17.8018493,70.2743974
830,17.9648679,70.3146306
831,18.1288052,70.3541899
832,18.2925849,70.393314
833,18.4565908,70.4317801
834,18.6211049,70.4688023
835,18.7851496,70.5068446
836,18.9496403,70.5426994
837,19.1144561,70.5778834
838,19.2793545,70.6125524
839,19.4443449,70.646525
840,19.6095352,70.679422
841,19.7748976,70.7119622
842,19.9403787,70.7435393
843,20.1061117,70.7737916
844,20.2720209,70.8032631
845,20.4380898,70.8321461
846,20.6040423,70.8606563
847,20.7704375,70.8871361
848,20.9368594,70.9141168
849,21.1033319,70.939851
850,21.270136,70.9645213
851,21.4368391,70.9895546
852,21.6035589,71.0131238
853,21.7705739,71.0353862
854,21.9376402,71.0571589
855,22.1048688,71.0778127
856,22.2721483,71.0982931
857,22.4392849,71.1175833
858,22.607102,71.1339461
859,22.7745505,71.1528831
860,22.9421017,71.1686376
861,23.1099881,71.1834716
862,23.277917,71.1975453
863,23.4458618,71.21085
864,23.6138881,71.2228854
865,23.7817324,71.2338531
866,23.9499469,71.2440449
867,24.1181802,71.2533824
868,24.2864969,71.2617108
869,24.4547166,71.2687965
870,24.6231775,71.2737448
871,24.7915502,71.2797697
872,24.9600439,71.2828622
873,25.1284757,71.287336
874,25.2967578,71.288909
875,25.4653147,71.2899
876,25.6337176,71.2900405
877,25.8021916,71.2887679
878,25.9707174,71.2870153
879,26.1391298,71.2843941
880,26.3073871,71.2801176
881,26.4758172,71.2751064
882,26.644205,71.2694745
883,26.8120467,71.2623782
884,26.9803685,71.2504751
885,27.1491908,71.2456404
886,27.3168972,71.2355931
887,27.4849433,71.2242728
888,27.6529439,71.2117013
889,27.8207557,71.1987035
890,27.988542,71.1828088
891,28.1564124,71.1680995
892,28.3237648,71.1506547
893,28.4914211,71.1326751
894,28.6588724,71.1144204
895,28.8259434,71.0940839
896,28.9929803,71.0723851
897,29.1596988,71.0500354
898,29.3264081,71.026642
899,29.4929274,71.0016069
900,29.6595008,70.9764768
901,29.8257287,70.9496058
902,29.9918962,70.9219355
903,30.1577008,70.8925447
904,30.3234528,70.8620102
905,30.488983,70.8310591
906,30.6541341,70.7981333
907,30.8192535,70.764548
908,30.9839978,70.729639
909,31.148488,70.6934938
910,31.3126107,70.6560501
911,31.4764861,70.6170488
912,31.6404189,70.5777727
913,31.8039601,70.537592
914,31.9670993,70.4959553
915,32.1299309,70.4529883
916,32.2924526,70.4087652
917,32.4548874,70.3635861
918,32.6170799,70.318325
919,32.7785145,70.2708294
920,32.9399034,70.2225402
921,33.1009486,70.1732603
922,33.2613477,70.1230036
923,33.4216604,70.0711656
924,33.5820156,70.01957
925,33.7409951,69.9653926
926,33.8998857,69.9086945
927,34.0594465,69.8566002
928,34.2161378,69.7963087
929,34.374647,69.7385378
930,34.5328661,69.6815003
931,34.6896494,69.6207058
932,34.8465649,69.5591698
933,35.0030435,69.4971245
934,35.1590119,69.4334991
935,35.3148173,69.3696101
936,35.4697635,69.3035171
937,35.6243687,69.2372795
938,35.7782635,69.1690951
939,35.9318657,69.099939
940,36.0848553,69.0298102
941,36.2376369,68.958501
942,36.3893859,68.8870558
943,36.5388271,68.8086296
944,36.692048,68.7380392
945,36.841612,68.6621667
946,36.9915977,68.5852336
947,37.1408809,68.5076258
948,37.2897206,68.4284261
949,37.4390746,68.3500986
950,37.5875675,68.2709059
951,37.7356122,68.19053
952,37.8835449,68.1097542
953,38.0312241,68.0286201
954,38.1784568,67.9467468
955,38.3254076,67.8642983
956,38.4721576,67.7814601
957,38.6184632,67.6981158
958,38.7643484,67.6135255
959,38.9105577,67.5301114
